연령군,성별,연령구간,항목코드,항목,n,p5,p10,p25,p50,p75,p90,p95,평균,표준편차
어르신,F,80+,item_f008,악력(우),1547,9.0,10.7,14.3,17.6,21.0,23.9,25.2,17.55,4.93
어르신,F,65~69,item_f007,악력(좌),4136,14.5,16.2,18.8,21.7,24.3,26.7,28.1,21.48,4.27
어르신,F,70~74,item_f007,악력(좌),3444,12.8,14.6,17.48,20.3,23.0,25.7,27.6,20.24,4.49
어르신,F,75~79,item_f007,악력(좌),2357,10.8,12.7,15.8,18.8,21.8,24.3,25.7,18.74,4.59
어르신,F,80+,item_f007,악력(좌),1551,8.2,10.0,13.2,16.5,19.7,22.4,24.1,16.44,4.8
어르신,F,65~69,item_f012,앉아윗몸앞으로굽히기,4030,1.65,5.1,10.3,15.5,20.0,23.5,25.45,14.74,7.46
어르신,F,70~74,item_f012,앉아윗몸앞으로굽히기,3371,0.45,4.0,9.3,14.2,19.0,22.7,24.85,13.63,7.61
어르신,F,75~79,item_f012,앉아윗몸앞으로굽히기,2293,-3.0,1.3,7.0,12.3,17.0,21.0,23.24,11.53,8.08
어르신,F,80+,item_f012,앉아윗몸앞으로굽히기,1504,-5.68,-1.2,4.0,9.2,14.5,18.77,21.0,8.83,8.14
어르신,F,65~69,item_f023,의자앉았다일어서기,4054,12.0,14.0,17.0,20.0,25.0,30.0,32.0,20.94,6.16
어르신,F,70~74,item_f023,의자앉았다일어서기,3376,11.0,12.0,15.0,19.0,23.0,27.0,30.0,19.23,6.06
어르신,F,75~79,item_f023,의자앉았다일어서기,2297,9.0,10.0,13.0,17.0,20.0,25.0,28.0,17.12,5.85
어르신,F,80+,item_f023,의자앉았다일어서기,1500,7.0,9.0,11.0,14.0,18.0,22.0,24.05,14.81,5.32
어르신,F,65~69,item_f002,체중,4139,46.3,48.8,52.91,57.4,62.8,68.2,72.21,58.15,7.91
어르신,F,70~74,item_f002,체중,3448,46.3,48.6,52.4,57.1,62.73,67.9,71.26,57.78,7.77
어르신,F,75~79,item_f002,체중,2367,44.8,47.3,51.94,56.8,61.9,66.96,70.44,57.12,7.89
어르신,F,80+,item_f002,체중,1553,42.56,45.0,49.6,54.8,60.8,66.8,70.0,55.38,8.47
어르신,F,65~69,item_f003,체지방률,4103,23.2,25.8,30.2,34.3,38.1,41.48,43.6,33.96,6.22
어르신,F,70~74,item_f003,체지방률,3430,23.5,26.3,30.6,35.0,38.7,42.0,44.35,34.47,6.41
어르신,F,75~79,item_f003,체지방률,2349,24.2,27.0,31.4,35.9,39.9,43.6,46.2,35.43,6.77
어르신,F,80+,item_f003,체지방률,1535,23.2,26.44,31.8,36.3,40.6,44.46,47.16,35.85,6.94
어르신,M,65~69,item_f025,2분제자리걷기,2789,89.0,97.0,107.0,119.0,129.0,140.0,148.0,117.8,19.91
어르신,M,70~74,item_f025,2분제자리걷기,2351,79.0,90.0,101.0,113.0,125.0,137.0,144.0,112.14,21.25
어르신,M,75~79,item_f025,2분제자리걷기,1783,67.1,82.0,96.0,108.0,119.0,130.0,137.0,105.77,22.99
어르신,M,80+,item_f025,2분제자리걷기,1012,35.0,56.1,84.0,100.0,112.0,123.0,130.0,94.68,28.15
